,index,channelTitle,channelId.1,publishTime,title,videoId,description,videoURL,artist,song,desc_required
109,110,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-04-12T16:04:11Z,Fareoh - Under Water [NCS Release],xzyRoshFFaA,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=xzyRoshFFaA,Fareoh,Under Water,"Track: Fareoh - Under Water [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/xzyRoshFFaA
Free Download / Stream: http://ncs.io/UnderWaterYO"
110,111,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-04-21T15:44:34Z,Unknown Brain - Why Do I? (feat. Bri Tolani) [NCS Release],tcHJodG5hX8,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=tcHJodG5hX8,Unknown Brain,Why Do I? (feat. Bri Tolani),"Track: Unknown Brain - Why Do I? (ft. Bri Tolani) [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/tcHJodG5hX8
Free Download / Stream: http://ncs.io/WhyDoIYO"
111,112,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-04-26T16:18:15Z,Rival x Cadmium - Seasons (feat. Harley Bird) [Futuristik &amp; Whogaux Remix] [NCS Release],PwJVaJJ664g,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=PwJVaJJ664g,Rival x Cadmium,Seasons (feat. Harley Bird) [Futuristik &amp; Whogaux Remix],"Track: Rival x Cadmium - Seasons (feat. Harley Bird) [Futuristik \u0026 Whogaux Remix] [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/PwJVaJJ664g
Free Download / Stream: http://ncs.io/SeasonsRemixYO"
112,113,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-05-03T16:10:01Z,NIVIRO - Memes [NCS Release],hgXZQfHySDw,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=hgXZQfHySDw,NIVIRO,Memes,"Track: NIVIRO - Memes [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/hgXZQfHySDw
Free Download / Stream: http://ncs.io/MemesYO"
113,114,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-05-09T17:05:30Z,Clarx - Zig Zag [NCS Release],CLEWmT_8ppM,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=CLEWmT_8ppM,Clarx,Zig Zag,"Track: Clarx - Zig Zag [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/CLEWmT_8ppM
Free Download / Stream: http://ncs.io/ZigZagYO"
115,116,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-06-29T16:06:19Z,Rogers &amp; Dean - No Doubt (Rival x Cadmium Remix) [NCS Release],Hwl8d5Fp-Jk,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=Hwl8d5Fp-Jk,Rogers &amp; Dean,No Doubt (Rival x Cadmium Remix),"Track: Rogers \u0026 Dean - No Doubt (Rival x Cadmium Remix)  [NCS Release]
Music provided by NoCopyrightSounds.
Free Download / Stream: http://ncs.io/NoDoubtRemixYO"
116,117,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-06-30T15:10:45Z,WATEVA - Ber Zer Ker [NCS Release],pIzq5BmcKF4,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=pIzq5BmcKF4,WATEVA,Ber Zer Ker,"Track: WATEVA - Ber Zer Ker [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/pIzq5BmcKF4
Free Download / Stream: http://ncs.io/BerZerKer/YO"
117,118,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-07-17T16:18:56Z,Diviners - Falling (feat. Harley Bird) [NCS Release],OtzIeRvDvrg,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=OtzIeRvDvrg,Diviners,Falling (feat. Harley Bird),"Track: Diviners - Falling (feat. Harley Bird) [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/OtzIeRvDvrg
Free Download / Stream: http://ncs.io/DHBFallingYO"
118,119,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-07-21T15:06:45Z,Jim Yosef &amp; Alex Skrindo - Ruby[NCS Release],Np-Y8ClGgRk,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=Np-Y8ClGgRk,Jim Yosef &amp; Alex Skrindo,,"Track: Jim Yosef \u0026 Alex Skrindo - Ruby [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/Np-Y8ClGgRk
Free Download / Stream: http://ncs.io/RubyYO"
119,120,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-07-25T16:07:34Z,Dirty Palm - Freakshow (feat. LexBlaze) [NCS Release],2jwj9wVx3mg,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=2jwj9wVx3mg,Dirty Palm,Freakshow (feat. LexBlaze),"Track: Dirty Palm - Freakshow (feat. LexBlaze) [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/2jwj9wVx3mg
Free Download / Stream: http://ncs.io/FreakshowYO"
